Base,Base Name,Date,Number of trips,Number of Vehicles
B01537,S.I. SPEED INC.,2015-05-06,137,16
B01546,BELLE ROCK OF BEACH CHANNEL INC.,2015-05-06,74,8
B01559,MUNKACS CAR SVC LTD,2015-05-06,349,22
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,2015-05-06,264,36
B01606,LA MEXICANA EXPRESS INC.,2015-05-06,1571,109
B01608,JERUSALEM CAR COM.INC.,2015-05-06,14,6
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-05-06,54,10
B01625,GLOBE CAR SERVICE INC,2015-05-06,106,9
B01626,LA NUEVA QUISQUEYA C/S INC,2015-05-06,1186,113
B01635,HAR-SINAY CAR & LIMO SVC INC,2015-05-06,41,6
B01653,ART'S PLACE INC.,2015-05-06,117,11
B01675,"TOWNCAR TRANSPORTATION, INC.",2015-05-06,141,14
B01678,G WAY TRANSPORT INC.,2015-05-06,41,5
B01679,CENTURY CAR SERVICE INC.,2015-05-06,92,7
B01726,SUPER CLASS RADIO DISP INC,2015-05-06,924,156
B01727,"CHAUFFEUR SERVICES, INC.",2015-05-06,8,5
B01730,LUCKY EXPRESS CORPORATION,2015-05-06,525,102
B01733,SHMT INC.,2015-05-06,64,7
B01738,NEW COMMANDO CAR SERVICE CORP.,2015-05-06,170,23
B01741,MONACO LIMO & CAR SERVICES INC.,2015-05-06,112,17
B01742,"AVALON TRANSPORTATION, LLC",2015-05-06,26,11
B01779,APEX CAR & LIMO SVCE INC,2015-05-06,61,21
B01808,OLD TOWN CARS CORP,2015-05-06,77,10
B01849,JOE PAL LIMOUSINE LTD,2015-05-06,9,5
B01854,EUROPE LIMOUSINE SERVICE INC,2015-05-06,84,26
B01868,LIMO 4 LLC,2015-05-06,1,1
B01875,ON LINE LIMOUSINE LLC,2015-05-06,476,63
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2015-05-06,4,2
B01877,U.S.A. LIMO. INC.,2015-05-06,312,130
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-05-06,986,100
B01913,MIRAGE LIMOUSINE SERVICE INC,2015-05-06,77,19
B01928,DISCOVER LIMO INC,2015-05-06,11,7
B01957,"ANIMO, INC",2015-05-06,12,2
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,2015-05-06,71,15
B01979,DREAMLAND CAR & LIMO.SVC INC.,2015-05-06,1,1
B01984,NY 88 EXPRESS CORP.,2015-05-06,832,109
B01990,SUK INCORPORATED,2015-05-06,111,40
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,2015-05-06,110,14
B02003,"AVALON CORPORATE CAR,INC.",2015-05-06,321,93
B02016,PLANET LIMOUSINE LLC,2015-05-06,180,56
B02021,EASYRIDE CAR SERVICE INC.,2015-05-06,54,6
B02022,GOLD SEAL CAR & LIMO INC.,2015-05-06,90,26
B02026,A RIDE FOR ALL LLC,2015-05-06,2,1
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,2015-05-06,34,10
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",2015-05-06,190,95
B02096,"CET GROUP, INC",2015-05-06,12,7
B02110,"OPTIMUM CAR & LIMO, INC.",2015-05-06,123,9
B02120,HARRISON GLOBAL LLC,2015-05-06,402,120
B02127,"CONTINENTAL RIDE, INC.",2015-05-06,4,2
B02133,"TWR CAR & LIMO, INC.",2015-05-06,121,36
B02142,ASCENT LIMOUSINE INC.,2015-05-06,1,1
B02144,"SILVER STAR LIMOUSINES, INC.",2015-05-06,24,10
B02147,"MITA LIMOUSINE, INC.",2015-05-06,21,10
B02155,ABA LUXURY CAR INC.,2015-05-06,19,14
B02157,REAGAN CONVEYANCE  CORP.,2015-05-06,202,90
B02167,MADISON LIMOUSINE INC,2015-05-06,4,1
B02182,"FINEST CAR SERVICE, LLC",2015-05-06,4,2
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-05-06,15,15
B02191,US LIMO SYSTEM INC,2015-05-06,64,19
B02217,PCS LIMOUSINE INC.,2015-05-06,34,13
B02240,NEW APPLE TRANS. INC.,2015-05-06,13,6
B02249,"LA RAZA CAR SERVICE, INC.",2015-05-06,195,41
B02252,ASIANA LIMOUSINE INC.,2015-05-06,10,5
B02265,"COUNTY CAR SERVICE, INC.",2015-05-06,28,2
b02301,DOUBLE A CAR SERVICE INC.,2015-05-06,402,26
B02306,ACCUELIMO LUXURY LLC,2015-05-06,78,20
B02308,NORWOOD CAR & LIMO INC.,2015-05-06,30,20
B02389,"EMBARQUE N.Y., INC.",2015-05-06,66,16
B02397,CHICO EXPRESS CORP. 2,2015-05-06,139,9
B02410,"POLO LIMOUSINE, CORP.",2015-05-06,78,20
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",2015-05-06,18,3
B02435,"TEINETCO, INC",2015-05-06,14,5
B02440,MLL LIMOUSINE SERVICES INC.,2015-05-06,80,25
B02447,"NEW HAMPTON CAR & LIMO, INC.",2015-05-06,4,4
B02468,GROUNDLINK HOLDINGS LLC,2015-05-06,146,36
B02469,FUTURE LIMO VIP CORP,2015-05-06,1,1
B02470,CRI LIMO INC.,2015-05-06,27,9
B02471,TSU GLOBAL SERVICES INC,2015-05-06,16,11
B02475,ECKFORD LITE CAR & LIMO INC.,2015-05-06,6,4
B02491,CALL THREES LLC,2015-05-06,28,5
B02511,DEKALB CAR SERVICE CORP.,2015-05-06,30,13
B02517,LOS PAISANOS LUXURY C/S INC.,2015-05-06,16,12
B02524,ESQ LIMOUSINE LLC,2015-05-06,23,11
B02541,HIBA CAR & LIMO SVC INC.,2015-05-06,10,6
B02542,BAILEY LUXURY & LIMOUSINE CORP.,2015-05-06,1,1
B02543,GTA CAR & LIMO SERVICE LLC,2015-05-06,58,9
B02547,NICK CAR & LIMO SERVICE INC.,2015-05-06,7,5
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,2015-05-06,5,4
B02564,LAGUARDIA LUXURY CAR & LIMO,2015-05-06,2,1
B02573,SUNSET PARK CAR SERVICE INC,2015-05-06,318,37
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",2015-05-06,67,42
B02599,CMS LIMO INC.,2015-05-06,8,3
B02629,CARLUX LIMO INC.,2015-05-06,14,6
B02637,ROOSEVELT CAR & LIMO INC.,2015-05-06,7,5
B02638,EAGER LIMO SERVICE INC.,2015-05-06,2,1
B02653,NEW COLLEGE CAR SVCE INC,2015-05-06,696,110
B02658,ASCONA CAR SERVICE INC.,2015-05-06,4,2
B02664,CORPORATE CAR LTD.,2015-05-06,10,5
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",2015-05-06,5,5
B02667,LEON LUXURY LIMO INC,2015-05-06,8,6
B02673,CONCORDE LIMOUSINE INC,2015-05-06,7,4
B02675,FRIELECH CAR & LIMO SERVICE INC,2015-05-06,21,2
B02681,DIRECT CAR & LIMO SERVICE INC.,2015-05-06,5,4
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,2015-05-06,14,10
B02695,SEE USA TOURS INC.,2015-05-06,11,2
B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,2015-05-06,2,2
B02710,PARADA CAR SERVICE,2015-05-06,6,6
B02712,AVE O CAR SERVICE INC,2015-05-06,6,6
B02715,GROUNDANYWHERE LLC,2015-05-06,146,36
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",2015-05-06,99,1
B02725,KIRIN TRANSPORTATION INC,2015-05-06,132,1
B02726,COMPADRE CAR SERVICE INC.,2015-05-06,112,10
B02731,EMES OF BOROPARK CAR SERVICE INC,2015-05-06,24,2
B02751,RELIANCE GROUP INC,2015-05-06,3,3
B02753,DADDY LIMO INC,2015-05-06,33,11
B02754,TIGER CAR SERVICE INC.,2015-05-06,17,2
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",2015-05-06,42,5
B02808,INVASORA EXPRESS CAR SERVICE CORP.,2015-05-06,6,2
B00008,T-D MAINTENANCE CORP,2015-05-07,149,18
B00009,T-D MAINTENANCE,2015-05-07,125,16
B00013,LOVE CORP CAR INC,2015-05-07,426,116
B00014,NY ONE CORP CAR INC,2015-05-07,571,167
B00021,MEXICANA HIGH CLASS INC.,2015-05-07,674,68
B00029,COMMUNITY CAR SVC CORP,2015-05-07,568,48
B00030,TREMONT DISPATCHING CORP,2015-05-07,109,11
B00035,LOTUS RIDE INC,2015-05-07,78,33
B00078,R & R ROAD LIMO SVCE INC,2015-05-07,101,46
B00083,PAGE-A-RIDE INC,2015-05-07,30,16
B00084,AUTOMOTIVE SVC SYSTEM INC,2015-05-07,30,20
B00160,JAFFA CAR & LIMO SVC INC,2015-05-07,319,22
B00170,EMUNAH CAR SERVICE INC,2015-05-07,56,8
B00202,"EXCELSIOR CAR & LIMO, INC.",2015-05-07,69,18
B00221,PROFESSIONAL CAR SERVICE INC,2015-05-07,543,83
B00235,"ARISTACAR & LIMOUSINE, LTD.",2015-05-07,30,14
B00236,LAST RADIO GROUP CORP.,2015-05-07,39,13
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-05-07,1009,125
B00254,XYZ TWO WAY RADIO,2015-05-07,1269,288
B00256,FAST OPERATING CORP,2015-05-07,3008,672
B00272,BIG APPLE CAR INC,2015-05-07,412,147
B00277,ALL CITY CORP TRANS INC,2015-05-07,144,41
B00281,"VEE CEE LIMOUSINE SERVICE, INC",2015-05-07,143,10
B00296,PRIME TIME TRANS. INC,2015-05-07,83,39
B00310,WATSON CAR SERVICE INC.,2015-05-07,1774,149
B00319,AVENTINE AUTO RENTAL INC,2015-05-07,120,12
B00334,DO MAX CORP.,2015-05-07,181,44
B00373,PARTICULAR PEOPLE CAR SERVICE INC.,2015-05-07,427,35
B00381,BELL RADIO INC,2015-05-07,397,117
B00411,FONE-A-CAR INC,2015-05-07,244,60
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-05-07,473,95
B00448,DIAL CAR INC.,2015-05-07,13,4
B00477,INTA-BORO ACRES INC,2015-05-07,1244,158
B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,2015-05-07,338,22
B00552,HINO-MARU ENTERPRISES INC.,2015-05-07,42,27
B00608,SUMMIT CORP CAR INC,2015-05-07,159,43
B00619,LINCOLN LIMO SVCE INC,2015-05-07,34,7
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-05-07,15,6
B00652,RESCUE C/S INC,2015-05-07,105,17
B00706,"VIC & BAY CAR SERVICE, INC",2015-05-07,606,19
B00789,VITAL TRANSPORTATION INC.,2015-05-07,949,232
B00837,CAREY LIMO N Y INC,2015-05-07,611,186
b00881,CROSSBAY CAR SERVICE INC.,2015-05-07,29,18
B00888,ACE C/L SVCE INC,2015-05-07,160,43
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,2015-05-07,81,13
B00975,"T.J.Q. CAR SERVICE, INC.",2015-05-07,730,50
b00983,"1431 CAR SERVICE, INC.",2015-05-07,76,8
b01013,AMERICANA TRANSPORTATION LLC,2015-05-07,18,6
B01016,810 CAR SVCE CORP,2015-05-07,930,68
B01020,MICHAELS CAR SERVICE INC.,2015-05-07,72,13
b01039,NYC WHEELS CAR SERVICE INC.,2015-05-07,10,10
b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,2015-05-07,78,9
B01066,DOMINICANA RAD DISP INC,2015-05-07,669,88
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,2015-05-07,154,12
B01109,UNITED EXP C/L SVCE,2015-05-07,729,82
B01129,GTWY INC,2015-05-07,231,23
B01148,EVELYN CAR SERVICE INC,2015-05-07,400,56
B01177,SLMK INC.,2015-05-07,175,12
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-05-07,328,97
B01231,GO CAR CORP.,2015-05-07,276,30
B01269,DIVISION CAR & LIMO INC.,2015-05-07,42,6
B01280,BENSONHURST RIDE INC.,2015-05-07,203,25
B01306,"R N D TRANSPORTATION, INC.",2015-05-07,41,10
B01313,JOY CAR SERVICES INC.,2015-05-07,17,13
B01332,SKYWAY CAR SERVICE EXPRESS INC.,2015-05-07,61,8
B01336,BAY EXPRESS CORP.,2015-05-07,183,23
B01351,HADERECH CAR SERVICE INC,2015-05-07,40,6
B01367,"ROYAL DISPATCH SERVICES, INC.",2015-05-07,256,84
B01379,J.J.S. TRANSPORTATION CO. INC.,2015-05-07,74,5
B01391,ROSE 'N' DALE C/S INC,2015-05-07,148,13
B01424,EAGLE CAR & LIMO LTD.,2015-05-07,24,5
B01445,J T TRANS CO INC,2015-05-07,175,51
B01452,AREAS TRANSP INC,2015-05-07,192,15
B01453,ST GEORGE EXPRESS CAR SERVICE INC.,2015-05-07,164,18
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",2015-05-07,79,12
B01509,"BRUNWISH ENTERPRISES,LTD.",2015-05-07,810,73
B01514,LOS ANDES LIMO INC.,2015-05-07,55,11
B01522,"STM ENTERPRISES,INC",2015-05-07,95,15
B01537,S.I. SPEED INC.,2015-05-07,156,17
B01546,BELLE ROCK OF BEACH CHANNEL INC.,2015-05-07,85,8
B01559,MUNKACS CAR SVC LTD,2015-05-07,377,21
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,2015-05-07,247,32
B01606,LA MEXICANA EXPRESS INC.,2015-05-07,1863,120
B01608,JERUSALEM CAR COM.INC.,2015-05-07,21,7
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-05-07,65,10
B01625,GLOBE CAR SERVICE INC,2015-05-07,108,9
B01626,LA NUEVA QUISQUEYA C/S INC,2015-05-07,1213,124
B01635,HAR-SINAY CAR & LIMO SVC INC,2015-05-07,42,8
B01653,ART'S PLACE INC.,2015-05-07,120,12
B01675,"TOWNCAR TRANSPORTATION, INC.",2015-05-07,152,15
B01678,G WAY TRANSPORT INC.,2015-05-07,40,5
B01679,CENTURY CAR SERVICE INC.,2015-05-07,84,6
B01726,SUPER CLASS RADIO DISP INC,2015-05-07,999,161
B01727,"CHAUFFEUR SERVICES, INC.",2015-05-07,5,3
B01730,LUCKY EXPRESS CORPORATION,2015-05-07,455,100
B01733,SHMT INC.,2015-05-07,59,8
B01738,NEW COMMANDO CAR SERVICE CORP.,2015-05-07,169,25
B01741,MONACO LIMO & CAR SERVICES INC.,2015-05-07,67,12
B01742,"AVALON TRANSPORTATION, LLC",2015-05-07,29,15
B01779,APEX CAR & LIMO SVCE INC,2015-05-07,68,23
B01808,OLD TOWN CARS CORP,2015-05-07,71,10
B01849,JOE PAL LIMOUSINE LTD,2015-05-07,6,3
B01854,EUROPE LIMOUSINE SERVICE INC,2015-05-07,98,28
B01868,LIMO 4 LLC,2015-05-07,2,2
B01875,ON LINE LIMOUSINE LLC,2015-05-07,426,59
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2015-05-07,7,5
B01877,U.S.A. LIMO. INC.,2015-05-07,280,119
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",2015-05-07,1004,95
B01913,MIRAGE LIMOUSINE SERVICE INC,2015-05-07,68,19
B01928,DISCOVER LIMO INC,2015-05-07,7,5
B01957,"ANIMO, INC",2015-05-07,10,3
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,2015-05-07,115,19
B01979,DREAMLAND CAR & LIMO.SVC INC.,2015-05-07,1,1
B01984,NY 88 EXPRESS CORP.,2015-05-07,732,103
B01990,SUK INCORPORATED,2015-05-07,126,42
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,2015-05-07,118,13
B02003,"AVALON CORPORATE CAR,INC.",2015-05-07,241,96
B02016,PLANET LIMOUSINE LLC,2015-05-07,203,61
B02021,EASYRIDE CAR SERVICE INC.,2015-05-07,39,6
B02022,GOLD SEAL CAR & LIMO INC.,2015-05-07,94,27
B02026,A RIDE FOR ALL LLC,2015-05-07,3,1
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,2015-05-07,25,10
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",2015-05-07,196,99
B02096,"CET GROUP, INC",2015-05-07,12,7
B02110,"OPTIMUM CAR & LIMO, INC.",2015-05-07,112,8
B02120,HARRISON GLOBAL LLC,2015-05-07,385,118
B02127,"CONTINENTAL RIDE, INC.",2015-05-07,3,2
B02133,"TWR CAR & LIMO, INC.",2015-05-07,111,35
B02142,ASCENT LIMOUSINE INC.,2015-05-07,3,2
B02144,"SILVER STAR LIMOUSINES, INC.",2015-05-07,21,10
B02147,"MITA LIMOUSINE, INC.",2015-05-07,16,10
B02155,ABA LUXURY CAR INC.,2015-05-07,19,14
B02157,REAGAN CONVEYANCE  CORP.,2015-05-07,260,104
B02167,MADISON LIMOUSINE INC,2015-05-07,6,2
B02182,"FINEST CAR SERVICE, LLC",2015-05-07,5,2
B02183,BANGLA CAR & LIMO. SERVICE INC.,2015-05-07,11,11
B02191,US LIMO SYSTEM INC,2015-05-07,52,18
B02217,PCS LIMOUSINE INC.,2015-05-07,39,12
B02240,NEW APPLE TRANS. INC.,2015-05-07,26,12
B02248,HYBRID LIMO EXPRESS INC.,2015-05-07,14,1
B02249,"LA RAZA CAR SERVICE, INC.",2015-05-07,231,46
B02252,ASIANA LIMOUSINE INC.,2015-05-07,7,3
B02265,"COUNTY CAR SERVICE, INC.",2015-05-07,53,4
b02301,DOUBLE A CAR SERVICE INC.,2015-05-07,480,23
B02306,ACCUELIMO LUXURY LLC,2015-05-07,106,19
B02308,NORWOOD CAR & LIMO INC.,2015-05-07,45,20
B02378,WELLCARE CAR SERVICE INC.,2015-05-07,1,1
B02389,"EMBARQUE N.Y., INC.",2015-05-07,62,17
B02397,CHICO EXPRESS CORP. 2,2015-05-07,109,9
B02410,"POLO LIMOUSINE, CORP.",2015-05-07,86,23
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",2015-05-07,18,3
B02435,"TEINETCO, INC",2015-05-07,14,5
B02440,MLL LIMOUSINE SERVICES INC.,2015-05-07,58,20
B02447,"NEW HAMPTON CAR & LIMO, INC.",2015-05-07,4,4
B02468,GROUNDLINK HOLDINGS LLC,2015-05-07,190,41
B02470,CRI LIMO INC.,2015-05-07,29,10
B02471,TSU GLOBAL SERVICES INC,2015-05-07,17,8
B02475,ECKFORD LITE CAR & LIMO INC.,2015-05-07,20,9
B02491,CALL THREES LLC,2015-05-07,24,4
B02511,DEKALB CAR SERVICE CORP.,2015-05-07,31,13
B02517,LOS PAISANOS LUXURY C/S INC.,2015-05-07,15,11
B02524,ESQ LIMOUSINE LLC,2015-05-07,20,8
B02541,HIBA CAR & LIMO SVC INC.,2015-05-07,7,5
B02542,BAILEY LUXURY & LIMOUSINE CORP.,2015-05-07,1,1
B02543,GTA CAR & LIMO SERVICE LLC,2015-05-07,48,9
B02547,NICK CAR & LIMO SERVICE INC.,2015-05-07,6,4
B02554,IMMEDIATE LUXURY CAR & LIMO SERVICE INC.,2015-05-07,7,5
B02564,LAGUARDIA LUXURY CAR & LIMO,2015-05-07,4,2
B02573,SUNSET PARK CAR SERVICE INC,2015-05-07,329,37
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",2015-05-07,83,47
B02599,CMS LIMO INC.,2015-05-07,13,3
B02629,CARLUX LIMO INC.,2015-05-07,24,6
B02637,ROOSEVELT CAR & LIMO INC.,2015-05-07,7,7
B02653,NEW COLLEGE CAR SVCE INC,2015-05-07,1102,120
B02658,ASCONA CAR SERVICE INC.,2015-05-07,8,1
B02664,CORPORATE CAR LTD.,2015-05-07,4,3
B02666,"D.L.C. LIMOUSINE SERVICE, INC.",2015-05-07,5,5
B02667,LEON LUXURY LIMO INC,2015-05-07,2,2
B02673,CONCORDE LIMOUSINE INC,2015-05-07,3,2
B02675,FRIELECH CAR & LIMO SERVICE INC,2015-05-07,23,4
B02681,DIRECT CAR & LIMO SERVICE INC.,2015-05-07,11,4
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,2015-05-07,4,4
B02689,OCS LIMO CORP.,2015-05-07,2,2
B02695,SEE USA TOURS INC.,2015-05-07,3,1
B02705                  ,GROUND JET EXECUTIVE TRANSPORTATION LLC,2015-05-07,3,2
B02710,PARADA CAR SERVICE,2015-05-07,5,5
B02712,AVE O CAR SERVICE INC,2015-05-07,7,7
B02715,GROUNDANYWHERE LLC,2015-05-07,190,41
B02716,"GEMINI GLOBAL TRANSPORTATION,LLC.",2015-05-07,83,1
B02718,CHURCHILL EXECUTIVE CARS INC,2015-05-07,2,2
B02725,KIRIN TRANSPORTATION INC,2015-05-07,106,1
B02726,COMPADRE CAR SERVICE INC.,2015-05-07,102,10
B02731,EMES OF BOROPARK CAR SERVICE INC,2015-05-07,41,3
B02753,DADDY LIMO INC,2015-05-07,32,11
B02754,TIGER CAR SERVICE INC.,2015-05-07,20,2
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",2015-05-07,40,5
B02808,INVASORA EXPRESS CAR SERVICE CORP.,2015-05-07,10,3
B00008,T-D MAINTENANCE CORP,2015-05-08,107,16
B00009,T-D MAINTENANCE,2015-05-08,137,17
B00013,LOVE CORP CAR INC,2015-05-08,307,102
B00014,NY ONE CORP CAR INC,2015-05-08,400,148
B00021,MEXICANA HIGH CLASS INC.,2015-05-08,888,67
B00029,COMMUNITY CAR SVC CORP,2015-05-08,646,50
B00030,TREMONT DISPATCHING CORP,2015-05-08,135,14
B00035,LOTUS RIDE INC,2015-05-08,40,23
B00078,R & R ROAD LIMO SVCE INC,2015-05-08,80,41
B00083,PAGE-A-RIDE INC,2015-05-08,13,9
B00084,AUTOMOTIVE SVC SYSTEM INC,2015-05-08,17,12
B00160,JAFFA CAR & LIMO SVC INC,2015-05-08,281,22
B00170,EMUNAH CAR SERVICE INC,2015-05-08,33,8
B00202,"EXCELSIOR CAR & LIMO, INC.",2015-05-08,88,17
B00221,PROFESSIONAL CAR SERVICE INC,2015-05-08,532,84
B00235,"ARISTACAR & LIMOUSINE, LTD.",2015-05-08,32,12
B00236,LAST RADIO GROUP CORP.,2015-05-08,33,13
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-05-08,1045,123
B00254,XYZ TWO WAY RADIO,2015-05-08,932,259
B00256,FAST OPERATING CORP,2015-05-08,2907,683
B00272,BIG APPLE CAR INC,2015-05-08,309,129
B00277,ALL CITY CORP TRANS INC,2015-05-08,126,39
B00281,"VEE CEE LIMOUSINE SERVICE, INC",2015-05-08,131,10
B00296,PRIME TIME TRANS. INC,2015-05-08,71,33
B00310,WATSON CAR SERVICE INC.,2015-05-08,2023,145
B00319,AVENTINE AUTO RENTAL INC,2015-05-08,124,12
B00334,DO MAX CORP.,2015-05-08,196,44
B00373,PARTICULAR PEOPLE CAR SERVICE INC.,2015-05-08,474,3
B00381,BELL RADIO INC,2015-05-08,311,100
B00411,FONE-A-CAR INC,2015-05-08,182,54
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-05-08,303,70
B00448,DIAL CAR INC.,2015-05-08,4,1
B00477,INTA-BORO ACRES INC,2015-05-08,872,142
B00492,BLUE WHITE ASSOC. TRANS.SVC.INC.,2015-05-08,375,22
B00552,HINO-MARU ENTERPRISES INC.,2015-05-08,26,23
B00608,SUMMIT CORP CAR INC,2015-05-08,122,40
B00619,LINCOLN LIMO SVCE INC,2015-05-08,29,6
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-05-08,17,4
B00652,RESCUE C/S INC,2015-05-08,139,15
B00706,"VIC & BAY CAR SERVICE, INC",2015-05-08,634,19
B00789,VITAL TRANSPORTATION INC.,2015-05-08,639,209
B00837,CAREY LIMO N Y INC,2015-05-08,473,158
b00881,CROSSBAY CAR SERVICE INC.,2015-05-08,27,12
B00888,ACE C/L SVCE INC,2015-05-08,116,37
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,2015-05-08,69,13
B00975,"T.J.Q. CAR SERVICE, INC.",2015-05-08,863,56
b00983,"1431 CAR SERVICE, INC.",2015-05-08,109,9
b01013,AMERICANA TRANSPORTATION LLC,2015-05-08,11,5
B01016,810 CAR SVCE CORP,2015-05-08,1142,73
B01020,MICHAELS CAR SERVICE INC.,2015-05-08,42,11
b01039,NYC WHEELS CAR SERVICE INC.,2015-05-08,10,10
b01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,2015-05-08,87,9
B01066,DOMINICANA RAD DISP INC,2015-05-08,806,88
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,2015-05-08,176,14
B01109,UNITED EXP C/L SVCE,2015-05-08,818,84
B01129,GTWY INC,2015-05-08,214,23
B01148,EVELYN CAR SERVICE INC,2015-05-08,437,59
B01177,SLMK INC.,2015-05-08,183,12
B01197,"TEL-A-CAR OF NEW YORK, LLC",2015-05-08,290,92
B01231,GO CAR CORP.,2015-05-08,217,31
B01269,DIVISION CAR & LIMO INC.,2015-05-08,33,6
B01280,BENSONHURST RIDE INC.,2015-05-08,161,26
B01306,"R N D TRANSPORTATION, INC.",2015-05-08,38,8
B01313,JOY CAR SERVICES INC.,2015-05-08,8,7
B01332,SKYWAY CAR SERVICE EXPRESS INC.,2015-05-08,54,10
B01336,BAY EXPRESS CORP.,2015-05-08,148,21
B01351,HADERECH CAR SERVICE INC,2015-05-08,59,6
B01367,"ROYAL DISPATCH SERVICES, INC.",2015-05-08,183,73
B01379,J.J.S. TRANSPORTATION CO. INC.,2015-05-08,48,3
B01391,ROSE 'N' DALE C/S INC,2015-05-08,169,14
B01445,J T TRANS CO INC,2015-05-08,175,46
B01452,AREAS TRANSP INC,2015-05-08,157,12
B01453,ST GEORGE EXPRESS CAR SERVICE INC.,2015-05-08,234,14
B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",2015-05-08,90,12
B01509,"BRUNWISH ENTERPRISES,LTD.",2015-05-08,866,72
B01514,LOS ANDES LIMO INC.,2015-05-08,52,10
B01522,"STM ENTERPRISES,INC",2015-05-08,105,16
B01537,S.I. SPEED INC.,2015-05-08,161,16
B01546,BELLE ROCK OF BEACH CHANNEL INC.,2015-05-08,111,9
B01559,MUNKACS CAR SVC LTD,2015-05-08,251,18
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,2015-05-08,287,36
B01606,LA MEXICANA EXPRESS INC.,2015-05-08,2183,118
B01608,JERUSALEM CAR COM.INC.,2015-05-08,12,6
B01623,JAMAICA EXPRESS CAR SERVICE INC.,2015-05-08,56,10
B01625,GLOBE CAR SERVICE INC,2015-05-08,116,9
B01626,LA NUEVA QUISQUEYA C/S INC,2015-05-08,1531,129
B01635,HAR-SINAY CAR & LIMO SVC INC,2015-05-08,25,7
B01653,ART'S PLACE INC.,2015-05-08,124,12
B01675,"TOWNCAR TRANSPORTATION, INC.",2015-05-08,153,18
B01678,G WAY TRANSPORT INC.,2015-05-08,42,5
B01679,CENTURY CAR SERVICE INC.,2015-05-08,62,5
B01726,SUPER CLASS RADIO DISP INC,2015-05-08,1181,166
B01727,"CHAUFFEUR SERVICES, INC.",2015-05-08,4,2
B01730,LUCKY EXPRESS CORPORATION,2015-05-08,516,102
B01733,SHMT INC.,2015-05-08,64,10
B01738,NEW COMMANDO CAR SERVICE CORP.,2015-05-08,201,23
B01741,MONACO LIMO & CAR SERVICES INC.,2015-05-08,84,16
B01742,"AVALON TRANSPORTATION, LLC",2015-05-08,22,9
B01779,APEX CAR & LIMO SVCE INC,2015-05-08,41,17
B01808,OLD TOWN CARS CORP,2015-05-08,74,10
B01846,ROMANTIQUE LIMOUSINE INC.,2015-05-08,1,1
B01849,JOE PAL LIMOUSINE LTD,2015-05-08,9,5
B01854,EUROPE LIMOUSINE SERVICE INC,2015-05-08,68,24
B01868,LIMO 4 LLC,2015-05-08,2,2
B01875,ON LINE LIMOUSINE LLC,2015-05-08,240,40
