Base,Base Name,Date,Number of trips,Number of Vehicles
B02513,"INTABORO PREMIERE TRANSP. SVCS., INC.",2015-01-07,23,6
B02566,GSL LIMOUSINES CORP.,2015-01-07,7,6
B02569,GOGREENRIDE INC.,2015-01-07,181,1
B02653,NEW COLLEGE CAR SVCE INC,2015-01-07,1165,112
B02715,GROUNDANYWHERE LLC,2015-01-07,242,76
B00013,LOVE CORP CAR INC,2015-01-08,484,111
B00014,NY ONE CORP CAR INC,2015-01-08,686,172
B00029,COMMUNITY CAR SVC CORP,2015-01-08,918,47
B00053,CHARGE AND RIDE INC,2015-01-08,113,60
B00095,LIBERTY CAR SERVICE INC.,2015-01-08,341,84
B00221,PROFESSIONAL CAR SERVICE INC,2015-01-08,540,80
B00227,"PARK WEST EXEC. SERVICES, INC.",2015-01-08,555,153
B00248,YELLOWSTONE TRANSPORTATION INC.,2015-01-08,1126,130
B00254,XYZ TWO WAY RADIO,2015-01-08,1496,320
B00280,FLEET RADIO DISPATCH CORP.,2015-01-08,306,83
B00310,WATSON CAR SERVICE INC.,2015-01-08,1809,149
B00381,BELL RADIO INC,2015-01-08,332,87
B00412,NYC 2 WAY INTERNATIONAL LTD,2015-01-08,370,82
B00448,DIAL CAR INC.,2015-01-08,4,2
B00457,PREMIUM BRONX CORP,2015-01-08,1246,115
B00477,INTA-BORO ACRES INC,2015-01-08,611,140
B00552,HINO-MARU ENTERPRISES INC.,2015-01-08,36,26
B00623,MANHATTAN INT'L LIMO NETWORK LLC,2015-01-08,24,9
B00837,CAREY LIMO N Y INC,2015-01-08,466,154
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,2015-01-08,2557,711
B00919,HARLEM CARS INC.,2015-01-08,716,70
