Base,Date,Number of trips
B02617,2015-04-26,11070
B02617,2015-01-11,11045
B02617,2015-02-09,11040
B02617,2015-02-08,11031
B02617,2015-05-21,10992
B02617,2015-05-01,10932
B02617,2015-03-27,10929
B02617,2015-05-09,10913
B02617,2015-03-13,10893
B02617,2015-02-22,10882
B02617,2015-03-05,10867
B02617,2015-01-28,10857
B02617,2015-04-30,10851
B02617,2015-06-02,10823
B02617,2015-06-05,10820
B02617,2015-01-03,10817
B02617,2015-04-22,10813
B02617,2015-06-11,10812
B02617,2015-01-12,10793
B02617,2015-05-08,10764
B02617,2015-06-12,10741
B02617,2015-05-29,10722
B02617,2015-03-21,10707
B02617,2015-06-18,10692
B02617,2015-05-14,10685
B02617,2015-03-26,10679
B02617,2015-03-04,10664
B02617,2015-04-10,10652
B02617,2015-03-03,10625
B02617,2015-04-16,10583
B02617,2015-03-01,10576
B02617,2015-05-28,10559
B02617,2015-03-19,10555
B02617,2015-01-25,10478
B02617,2015-04-20,10464
B02617,2015-04-09,10449
B02617,2015-05-20,10435
B02617,2015-05-07,10431
B02617,2015-06-04,10429
B02617,2015-04-11,10415
B02617,2015-06-25,10414
B02617,2015-06-19,10412
B02617,2015-03-12,10385
B02617,2015-06-06,10365
B02617,2015-05-31,10344
B02617,2015-03-31,10323
B02617,2015-05-17,10295
B02617,2015-01-06,10235
B02617,2015-05-27,10233
B02617,2015-04-02,10220
B02617,2015-06-17,10200
B02617,2015-05-13,10191
B02617,2015-06-13,10158
B02617,2015-03-10,10105
B02617,2015-04-03,10104
B02617,2015-06-26,10097
B02617,2015-05-19,10090
B02617,2015-01-20,10038
B02617,2015-06-20,10003
B02617,2015-04-19,9988
B02617,2015-06-01,9974
B02617,2015-03-25,9931
B02617,2015-04-29,9909
B02617,2015-05-06,9896
B02617,2015-06-23,9883
B02617,2015-03-18,9857
B02617,2015-06-03,9855
B02617,2015-01-01,9702
B02617,2015-03-29,9698
B02617,2015-04-01,9663
B02617,2015-06-10,9600
B02617,2015-06-24,9577
B02617,2015-03-11,9515
B02617,2015-04-08,9507
B02617,2015-06-07,9440
B02617,2015-06-14,9438
B02617,2015-05-22,9385
B02617,2015-06-16,9380
B02617,2015-05-03,9323
B02617,2015-05-05,9303
B02617,2015-05-10,9261
B02617,2015-04-21,9242
B02617,2015-04-15,9175
B02617,2015-06-28,9170
B02617,2015-06-09,9152
B02617,2015-05-12,9128
B02617,2015-04-07,9082
B02617,2015-04-04,9076
B02617,2015-04-12,9075
B02617,2015-06-21,9023
B02617,2015-03-15,9022
B02617,2015-03-08,9011
B02617,2015-03-22,9001
B02617,2015-06-15,8937
B02617,2015-03-24,8911
B02617,2015-05-18,8857
B02617,2015-04-28,8786
B02617,2015-03-23,8721
B02617,2015-03-02,8686
B02617,2015-04-14,8644
B02617,2015-03-17,8622
B02617,2015-04-27,8539
B02617,2015-06-30,8534
B02617,2015-03-30,8468
B02617,2015-06-08,8459
B02617,2015-05-23,8358
B02617,2015-05-26,8324
B02617,2015-05-11,8233
B02617,2015-03-16,7990
B02617,2015-06-22,7978
B02617,2015-03-09,7948
B02617,2015-01-05,7936
B02617,2015-01-04,7857
B02617,2015-01-19,7848
B02617,2015-05-04,7829
B02617,2015-04-05,7812
B02617,2015-01-26,7727
B02617,2015-06-29,7718
B02617,2015-04-13,7694
B02617,2015-05-24,7380
B02617,2015-01-02,7226
B02617,2015-04-06,7065
B02617,2015-05-25,6090
B02617,2015-01-27,4322
B02682,2015-06-27,37329
B02682,2015-06-20,31651
B02682,2015-06-13,31131
B02682,2015-06-06,30739
B02682,2015-06-19,30466
B02682,2015-05-16,30358
B02682,2015-06-12,30089
B02682,2015-05-30,29976
B02682,2015-06-26,29969
B02682,2015-06-05,29027
B02682,2015-06-25,28818
B02682,2015-06-11,28609
B02682,2015-06-18,28438
B02682,2015-06-28,27918
B02682,2015-05-31,27704
B02682,2015-06-14,27634
B02682,2015-06-21,27547
B02682,2015-05-29,27526
B02682,2015-06-24,27222
B02682,2015-06-23,27087
B02682,2015-06-17,26872
B02682,2015-06-07,26266
B02682,2015-06-02,26195
B02682,2015-06-04,26006
B02682,2015-05-15,25842
B02682,2015-06-16,25787
B02682,2015-05-28,25566
B02682,2015-05-09,25494
B02682,2015-06-10,25371
B02682,2015-06-01,25349
B02682,2015-05-02,25321
B02682,2015-06-15,25310
B02682,2015-05-17,25141
B02682,2015-05-21,24838
B02682,2015-05-22,24689
B02682,2015-06-30,24586
B02682,2015-06-03,24548
B02682,2015-05-20,23928
B02682,2015-05-23,23723
B02682,2015-06-09,23698
B02682,2015-05-27,23681
