Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day,Max Active Vehicles,Min Active Vehicles
629,33,1,2015-01-01,2015-08-31,243,2.588477366255144,2015-04-28,2015-05-24,8,1
237,12,1,2015-01-01,2015-08-31,243,0.9753086419753086,2015-06-15,2015-06-02,5,1
160,9,1,2015-01-01,2015-08-31,243,0.6584362139917695,2015-06-22,2015-06-05,5,1
887,19,4,2015-01-01,2015-08-31,243,3.6502057613168724,2015-04-01,2015-05-09,19,4
10,3,1,2015-01-01,2015-08-31,243,0.0411522633744856,2015-04-02,2015-04-15,1,1
26,2,1,2015-01-01,2015-08-31,243,0.10699588477366255,2015-03-03,2015-03-02,2,1
224,17,1,2015-01-01,2015-08-31,243,0.9218106995884774,2015-03-19,2015-03-07,7,1
229860,2430,551,2015-01-01,2015-08-31,243,945.925925925926,2015-02-28,2015-01-27,126,83
186,36,2,2015-01-01,2015-08-31,243,0.7654320987654321,2015-05-05,2015-05-12,2,1
226,100,46,2015-01-01,2015-08-31,243,0.9300411522633745,2015-05-01,2015-06-01,1,1
328,14,1,2015-01-01,2015-08-31,243,1.3497942386831276,2015-04-22,2015-04-11,8,1
1010,19,1,2015-01-01,2015-08-31,243,4.156378600823046,2015-07-15,2015-05-25,13,1
